Shop,Shop Link,Based In,Ships To,Known For,Physical/Digital?,Regular Merch?,Social Links
BrighanArt,"https://www.etsy.com/shop/BrighanArt
https://ko-fi.com/brighan/shop ",Spain,International,has digital/physical art books and sticker,Both,TRUE,https://brighan.carrd.co/
Cephalon3DPrints,https://www.etsy.com/shop/Cephalon3DPrints,USA,International,3D printed cephalons,Physical,FALSE,
CrimsonDawnStore,https://www.etsy.com/shop/CrimsonDawnStore,Spain,International,has one Clem sticker at the moment,Physical,FALSE,
EmilyMeganXArt,https://www.etsy.com/shop/EmilyMeganXArt,UK,International,has one Titania art print at the moment,Physical,FALSE,https://emilymeganxart.contactin.bio/
Ghostlycorvid,https://www.etsy.com/shop/Ghostlycorvid,USA,USA (?),has one Dante sticker at the moment,Physical,FALSE,https://ghostlycorvid.neocities.org/
GrackleInkStudio,https://www.grackleinkstudio.etsy.com/,USA,USA,"wooden pins, keychains, stickers",Physical,TRUE,https://linktr.ee/grackleink
HolisticHiatusArt,"https://shop.holistichiatus.com
https://www.etsy.com/shop/HolisticHiatusArt",USA,International,"enamel pins, stickers, charms, standees",Physical,TRUE,https://linktr.ee/HolisticHiatus
MonsterHuntersGuild,https://www.etsy.com/shop/MonsterHuntersGuild,USA,USA,enamel pins,Physical,TRUE,https://linktr.ee/LisellaWebster
NewtDoesArts,https://www.etsy.com/shop/NewtDoesArts,USA,USA (?),"button pins, key chains",Physical,TRUE,https://linktr.ee/newtcosplay
OHHONO,https://www.etsy.com/shop/OHHONO,Australia,International,has one Arthur/Aoi print at the moment,Physical,FALSE,https://linktr.ee/ohhono
OrokinBorn,https://www.etsy.com/shop/OrokinBorn,USA,USA (?),keychains,Physical,TRUE,https://linktr.ee/maxxtrapp
StuckToYouMerch,"https://www.etsy.com/shop/StuckToYouMerch
https://www.stucktoyoumerch.com/",USA,International (EU exception),"body pillow covers, enamel pins, stickers",Physical,TRUE,
TealeafTrinketShop,https://www.etsy.com/shop/TealeafTrinketShop,USA,International,has one Eleanor keychain at the moment,Physical,FALSE,https://bsky.app/profile/toasty-tealeaf.bsky.social
TheBestiaryArt,"https://www.etsy.com/shop/TheBestiaryArt
https://www.backerkit.com/c/users/2035473/created_projects",UK,International?,"enamel pins, stickers",Physical,TRUE,
ThePrintingPub,https://www.etsy.com/shop/ThePrintingPub,USA,USA (?),stickers,Physical,TRUE,
TinyCoffeeBeanStudio,https://www.etsy.com/shop/TinyCoffeeBeanStudio,USA,USA (?),"prints, stickers",Physical,TRUE,https://linktr.ee/teenytinycoffeebean
Yevvie,https://crowdmade.com/collections/yevvie,?,International,"prints, t-shirts",Physical,TRUE,https://yevvie.varyel.com/